???????,tlv-????,????????? ???????
apply-macro-type name,libappsecure-dd.so,True
apply-macro-type data,libappsecure-dd.so,True
macro-data-type keyword,libappsecure-dd.so,False
macro-data-type value,libappsecure-dd.so,False
apply-flags-type omit,libappsecure-dd.so,True
juniper-config class-of-service,libappsecure-dd.so,False
match_application name_value,libappsecure-dd.so,False
match_application_group name_value,libappsecure-dd.so,False
appqos_rule_type rule-name,libappsecure-dd.so,False
appqos_rule_type apply-macro,libappsecure-dd.so,False
appqos_rule_type apply-flags,libappsecure-dd.so,False
appqos_rule_type dynamic-db,libappsecure-dd.so,False
appqos-traceoptions-type apply-macro,libappsecure-dd.so,False
appqos-traceoptions-type apply-flags,libappsecure-dd.so,False
appqos-traceoptions-type dynamic-db,libappsecure-dd.so,False
appqos-traceoptions-type no-remote-trace,libappsecure-dd.so,False
juniper-class-of-service-options apply-macro,libappsecure-dd.so,False
juniper-class-of-service-options apply-flags,libappsecure-dd.so,False
juniper-class-of-service-options dynamic-db,libappsecure-dd.so,False
appqos_rule_type apply-groups value,libappsecure-dd.so,False
appqos_rule_type apply-groups-except value,libappsecure-dd.so,False
appqos_rule_type match apply-macro,libappsecure-dd.so,False
appqos_rule_type match apply-flags,libappsecure-dd.so,False
appqos_rule_type match dynamic-db,libappsecure-dd.so,False
appqos_rule_type match application-any,libappsecure-dd.so,False
appqos_rule_type match application-unknown,libappsecure-dd.so,True
appqos_rule_type match application-known,libappsecure-dd.so,False
appqos_rule_type match application,libappsecure-dd.so,False
appqos_rule_type match application-group,libappsecure-dd.so,False
appqos_rule_type then apply-macro,libappsecure-dd.so,False
appqos_rule_type then apply-flags,libappsecure-dd.so,False
appqos_rule_type then dynamic-db,libappsecure-dd.so,False
appqos_rule_type then forwarding-class,libappsecure-dd.so,False
appqos_rule_type then dscp-code-point,libappsecure-dd.so,False
appqos_rule_type then log,libappsecure-dd.so,False
appqos-traceoptions-type apply-groups value,libappsecure-dd.so,False
appqos-traceoptions-type apply-groups-except value,libappsecure-dd.so,False
appqos-traceoptions-type file filename,libappsecure-dd.so,False
appqos-traceoptions-type file size,libappsecure-dd.so,False
appqos-traceoptions-type file files,libappsecure-dd.so,False
appqos-traceoptions-type file world-readable,libappsecure-dd.so,False
appqos-traceoptions-type file match,libappsecure-dd.so,False
appqos-traceoptions-type level error,libappsecure-dd.so,False
appqos-traceoptions-type level warning,libappsecure-dd.so,False
appqos-traceoptions-type level notice,libappsecure-dd.so,False
appqos-traceoptions-type level info,libappsecure-dd.so,False
appqos-traceoptions-type level verbose,libappsecure-dd.so,False
appqos-traceoptions-type level all,libappsecure-dd.so,False
